Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/?p=5,1335,0,68,79.95971802919577,48.354886001106934,374.4696770008886,31245.0,46.16930827442531,0.0,68,75,79,83,110,160,210,230,370,370,370
,Aggregated,1335,0,68,79.95971802919577,48.354886001106934,374.4696770008886,31245.0,46.16930827442531,0.0,68,75,79,83,110,160,210,230,370,370,370
