Method,Name,Error,Occurrences
GET,/?p=5,HTTPError('500 Server Error: Internal Server Error for url: /?p=5'),3456
GET,/?p=5,RemoteDisconnected('Remote end closed connection without response'),174
GET,/?p=5,"ConnectionResetError(104, 'Connection reset by peer')",24
