Method,Name,Error,Occurrences
GET,/?p=17,"ConnectionResetError(104, 'Connection reset by peer')",15
GET,/?p=17,HTTPError('500 Server Error: Internal Server Error for url: /?p=17'),2283
GET,/?p=17,RemoteDisconnected('Remote end closed connection without response'),47
