Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/?p=15,1980,0,1400.0,1374.9640906378909,190.23772000036843,3111.1297249990457,29562.0,65.85624104334053,0.0,1400,1600,1700,1800,2100,2400,2600,2800,3100,3100,3100
GET,/wp-content/uploads/2026/05/AsterNovi-belgii-flower-1mb-1.jpg,1962,0,520.0,530.5203873338307,47.02855399955297,1526.0547199995926,1046692.0,65.25754794294652,0.0,520,600,660,700,810,900,1000,1200,1500,1500,1500
,Aggregated,3942,0,770.0,954.670192646373,47.02855399955297,3111.1297249990457,535804.7853881279,131.11378898628706,0.0,770,1100,1400,1500,1800,2100,2400,2600,3000,3100,3100
