Method,Name,Error,Occurrences
GET,/?p=13,HTTPError('500 Server Error: Internal Server Error for url: /?p=13'),2674
GET,/?p=13,"ConnectionResetError(104, 'Connection reset by peer')",2
GET,/?p=13,RemoteDisconnected('Remote end closed connection without response'),28
