scenario,instances,users,Average Response Time,Requests/s,Failure Count,95%,99%
hibrido_1mb_texto_400kb,1,10,159.7362145939451,4.927953489246066,0.0,780.0,790.0
hibrido_1mb_texto_400kb,1,100,95.39336470563543,45.94958196139884,0.0,190.0,390.0
hibrido_1mb_texto_400kb,1,1000,2074.1190969749664,162.67344116331813,1136.0,5100.0,6200.0
hibrido_1mb_texto_400kb,2,10,139.88234473626827,4.993556482667081,0.0,360.0,390.0
hibrido_1mb_texto_400kb,2,100,94.80612382026705,46.41356568102059,0.0,190.0,330.0
hibrido_1mb_texto_400kb,2,1000,1431.541473025777,198.42076529614766,2345.0,4300.0,5200.0
hibrido_1mb_texto_400kb,3,10,163.83559131839624,4.683262172658788,0.0,380.0,430.0
hibrido_1mb_texto_400kb,3,100,97.91003929112365,45.72954575578767,0.0,180.0,390.0
hibrido_1mb_texto_400kb,3,1000,1305.7276671043178,200.57731220019312,2437.0,3300.0,4300.0
imagem_1mb,1,10,119.28024268565598,5.053204049020294,0.0,260.0,320.0
imagem_1mb,1,100,86.50448305876714,46.86955036311373,0.0,170.0,320.0
imagem_1mb,1,1000,1317.6649156155302,204.91832529628763,1198.0,3100.0,3700.0
imagem_1mb,2,10,133.64993352817172,4.818130480312345,0.0,350.0,380.0
imagem_1mb,2,100,77.35826928164589,46.671983262057815,0.0,140.0,270.0
imagem_1mb,2,1000,739.9745749402454,253.62404402248953,3062.0,2300.0,2700.0
imagem_1mb,3,10,153.13094013233805,4.923745013674149,0.0,400.0,470.0
imagem_1mb,3,100,78.7670739382405,46.24935188390718,0.0,130.0,220.0
imagem_1mb,3,1000,637.8173919952164,263.41791186529,3654.0,2200.0,2800.0
imagem_300kb,1,10,158.3663815694965,4.95719736152379,0.0,790.0,840.0
imagem_300kb,1,100,74.16594082854795,46.77206274595849,0.0,130.0,200.0
imagem_300kb,1,1000,1031.7309325205551,220.1763050844885,1047.0,2600.0,2900.0
imagem_300kb,2,10,133.60867035209313,4.891064965121287,0.0,380.0,470.0
imagem_300kb,2,100,79.43568894977537,46.52817156245702,0.0,140.0,290.0
imagem_300kb,2,1000,740.7401158319993,254.99270387237902,2863.0,2100.0,3200.0
imagem_300kb,3,10,155.6926563785055,4.823582034890183,0.0,330.0,390.0
imagem_300kb,3,100,92.26383380701009,46.076709693788615,0.0,180.0,260.0
imagem_300kb,3,1000,666.7659462168814,260.3715283748876,2704.0,1900.0,2400.0
post_400kb,1,10,113.70932893062975,4.976175031052495,0.0,190.0,280.0
post_400kb,1,100,87.69892326433093,46.72537259508435,0.0,150.0,200.0
post_400kb,1,1000,1767.6521635566878,169.68461922713576,1253.0,4600.0,5600.0
post_400kb,2,10,141.65163619864336,5.040579119019321,0.0,320.0,380.0
post_400kb,2,100,93.15963830848224,46.2211968282919,0.0,170.0,380.0
post_400kb,2,1000,1102.0138966800048,222.55298145478588,3336.0,3300.0,4400.0
post_400kb,3,10,164.09056028884757,4.656713513224383,0.0,390.0,400.0
post_400kb,3,100,98.30052955100018,46.19679666304134,0.0,190.0,310.0
post_400kb,3,1000,1526.4435612844434,184.02793939323863,2398.0,3900.0,4800.0
